detected_language,count,pct
en,6897,57.475
too_short,4042,33.68333333333333
id,122,1.0166666666666666
fr,80,0.6666666666666667
af,76,0.6333333333333333
so,62,0.5166666666666666
no,62,0.5166666666666666
tl,54,0.44999999999999996
it,52,0.4333333333333333
da,47,0.39166666666666666
es,46,0.3833333333333333
ro,39,0.325
et,37,0.30833333333333335
nl,36,0.3
sw,34,0.2833333333333333
ca,29,0.24166666666666667
ar,28,0.23333333333333336
de,27,0.22499999999999998
unknown,22,0.18333333333333332
bn,19,0.15833333333333333
sv,19,0.15833333333333333
hr,19,0.15833333333333333
sl,18,0.15
pt,17,0.14166666666666666
cy,16,0.13333333333333333
sk,15,0.125
sq,12,0.1
fi,9,0.075
cs,8,0.06666666666666667
tr,7,0.05833333333333334
fa,7,0.05833333333333334
hi,6,0.05
hu,5,0.04166666666666667
mr,5,0.04166666666666667
vi,5,0.04166666666666667
ur,4,0.03333333333333333
pl,4,0.03333333333333333
lt,2,0.016666666666666666
ru,2,0.016666666666666666
lv,2,0.016666666666666666
th,2,0.016666666666666666
ne,1,0.008333333333333333
uk,1,0.008333333333333333
ko,1,0.008333333333333333
ml,1,0.008333333333333333
el,1,0.008333333333333333
