app_name,n_reviews,appVersion_non_missing_pct,reviewCreatedVersion_non_missing_pct,unique_app_versions,unique_review_created_versions
Airbnb,1200,87.58333333333333,87.58333333333333,29,29
DoorDash,1200,89.41666666666667,89.41666666666667,68,68
Duolingo,1200,89.5,89.5,45,45
Instagram,1200,62.74999999999999,62.74999999999999,110,110
Netflix,1200,69.33333333333334,69.33333333333334,123,123
Spotify,1200,84.91666666666666,84.91666666666666,48,48
TikTok,1200,62.0,62.0,78,78
Uber,1200,85.33333333333334,85.33333333333334,44,44
Walmart,1200,94.75,94.75,53,53
YouTube,1200,97.83333333333334,97.83333333333334,152,152
