comparison_pair,source,app_name,country,previous_run_count,current_run_count,new_reviews_in_current_run,overlap_with_previous_run,current_run_overlap_rate,previous_run_newest_review,current_run_newest_review,schema_same
run1_vs_run2,ios_app_store,YouTube,us,500,500,117,382,0.764,2026-06-20T15:58:19-07:00,2026-06-21T08:44:04-07:00,True
run1_vs_run2,ios_app_store,YouTube,gb,500,500,17,483,0.966,2026-06-20T14:23:30-07:00,2026-06-21T08:42:29-07:00,True
run1_vs_run2,ios_app_store,YouTube,ca,500,500,17,483,0.966,2026-06-20T15:38:26-07:00,2026-06-21T08:25:54-07:00,True
run1_vs_run2,ios_app_store,YouTube,au,500,500,11,489,0.978,2026-06-20T14:24:32-07:00,2026-06-21T07:53:13-07:00,True
run1_vs_run2,ios_app_store,YouTube,in,500,500,15,485,0.97,2026-06-20T15:15:21-07:00,2026-06-21T07:41:18-07:00,True
run1_vs_run2,ios_app_store,TikTok,us,500,500,205,288,0.576,2026-06-20T15:57:12-07:00,2026-06-21T08:42:55-07:00,True
run1_vs_run2,ios_app_store,TikTok,gb,500,500,16,386,0.772,2026-06-20T14:41:14-07:00,2026-06-21T08:19:37-07:00,True
run1_vs_run2,ios_app_store,TikTok,ca,500,500,54,446,0.892,2026-06-20T12:22:31-07:00,2026-06-21T05:29:05-07:00,True
run1_vs_run2,ios_app_store,TikTok,au,500,500,63,338,0.676,2026-06-12T03:46:26-07:00,2026-06-12T18:23:20-07:00,True
run1_vs_run2,ios_app_store,Spotify,us,500,500,197,303,0.606,2026-06-20T15:55:38-07:00,2026-06-21T08:41:06-07:00,True
run1_vs_run2,ios_app_store,Spotify,gb,500,500,37,463,0.926,2026-06-20T15:54:20-07:00,2026-06-21T08:24:02-07:00,True
run1_vs_run2,ios_app_store,Spotify,ca,500,500,21,479,0.958,2026-06-20T15:09:11-07:00,2026-06-21T08:17:45-07:00,True
run1_vs_run2,ios_app_store,Spotify,au,500,500,26,474,0.948,2026-06-20T15:41:55-07:00,2026-06-21T07:13:55-07:00,True
run1_vs_run2,ios_app_store,Spotify,in,500,500,25,475,0.95,2026-06-20T15:48:11-07:00,2026-06-21T08:37:00-07:00,True
run2_vs_run3,ios_app_store,YouTube,us,500,500,174,326,0.652,2026-06-21T08:44:04-07:00,2026-06-22T04:26:11-07:00,True
run2_vs_run3,ios_app_store,YouTube,gb,500,500,11,489,0.978,2026-06-21T08:42:29-07:00,2026-06-22T04:00:19-07:00,True
run2_vs_run3,ios_app_store,YouTube,ca,500,500,21,479,0.958,2026-06-21T08:25:54-07:00,2026-06-22T02:43:35-07:00,True
run2_vs_run3,ios_app_store,YouTube,au,500,500,5,495,0.99,2026-06-21T07:53:13-07:00,2026-06-22T04:11:01-07:00,True
run2_vs_run3,ios_app_store,YouTube,in,500,500,13,487,0.974,2026-06-21T07:41:18-07:00,2026-06-22T01:42:36-07:00,True
run2_vs_run3,ios_app_store,TikTok,us,500,450,113,337,0.7488888888888889,2026-06-21T08:42:55-07:00,2026-06-22T04:18:31-07:00,True
run2_vs_run3,ios_app_store,TikTok,gb,500,450,100,350,0.7777777777777778,2026-06-21T08:19:37-07:00,2026-06-22T03:42:50-07:00,True
run2_vs_run3,ios_app_store,TikTok,ca,500,500,11,439,0.878,2026-06-21T05:29:05-07:00,2026-06-21T22:00:04-07:00,True
run2_vs_run3,ios_app_store,TikTok,au,500,500,168,332,0.664,2026-06-12T18:23:20-07:00,2026-06-22T02:08:41-07:00,True
run2_vs_run3,ios_app_store,Spotify,us,500,500,310,190,0.38,2026-06-21T08:41:06-07:00,2026-06-22T04:39:51-07:00,True
run2_vs_run3,ios_app_store,Spotify,gb,500,450,34,416,0.9244444444444444,2026-06-21T08:24:02-07:00,2026-06-22T02:14:41-07:00,True
run2_vs_run3,ios_app_store,Spotify,ca,500,450,0,450,1.0,2026-06-21T08:17:45-07:00,2026-06-20T15:09:11-07:00,True
run2_vs_run3,ios_app_store,Spotify,au,500,500,25,475,0.95,2026-06-21T07:13:55-07:00,2026-06-22T04:39:20-07:00,True
run2_vs_run3,ios_app_store,Spotify,in,500,500,29,471,0.942,2026-06-21T08:37:00-07:00,2026-06-22T03:36:06-07:00,True
