table_name,cid,name,type,notnull,dflt_value,pk
phase2_reviews_raw,0,review_key,TEXT,0,,1
phase2_reviews_raw,1,source,TEXT,1,,0
phase2_reviews_raw,2,app_id,TEXT,1,,0
phase2_reviews_raw,3,app_name,TEXT,0,,0
phase2_reviews_raw,4,review_id,TEXT,0,,0
phase2_reviews_raw,5,user_name,TEXT,0,,0
phase2_reviews_raw,6,user_image,TEXT,0,,0
phase2_reviews_raw,7,content_raw,TEXT,0,,0
phase2_reviews_raw,8,score,INTEGER,0,,0
phase2_reviews_raw,9,thumbs_up_count,INTEGER,0,,0
phase2_reviews_raw,10,review_created_at,TEXT,0,,0
phase2_reviews_raw,11,reply_content_raw,TEXT,0,,0
phase2_reviews_raw,12,replied_at,TEXT,0,,0
phase2_reviews_raw,13,app_version,TEXT,0,,0
phase2_reviews_raw,14,fetched_at,TEXT,0,,0
phase2_reviews_raw,15,run_id,TEXT,0,,0
phase2_reviews_raw,16,raw_json,TEXT,0,,0
phase2_reviews_cleaned,0,review_key,TEXT,0,,1
phase2_reviews_cleaned,1,source,TEXT,1,,0
phase2_reviews_cleaned,2,app_id,TEXT,1,,0
phase2_reviews_cleaned,3,content_cleaned,TEXT,0,,0
phase2_reviews_cleaned,4,content_length,INTEGER,0,,0
phase2_reviews_cleaned,5,has_developer_reply,INTEGER,0,,0
phase2_reviews_cleaned,6,score,INTEGER,0,,0
phase2_reviews_cleaned,7,review_created_at,TEXT,0,,0
phase2_reviews_cleaned,8,app_version,TEXT,0,,0
phase2_reviews_cleaned,9,cleaned_at,TEXT,0,,0
phase2_reviews_cleaned,10,run_id,TEXT,0,,0
phase2_apps,0,app_id,TEXT,0,,1
phase2_apps,1,app_name,TEXT,0,,0
phase2_apps,2,source,TEXT,0,,0
phase2_apps,3,language,TEXT,0,,0
phase2_apps,4,country,TEXT,0,,0
phase2_apps,5,title_from_store,TEXT,0,,0
phase2_apps,6,score_from_store,REAL,0,,0
phase2_apps,7,ratings_from_store,INTEGER,0,,0
phase2_apps,8,installs_from_store,TEXT,0,,0
phase2_apps,9,last_validated_at,TEXT,0,,0
phase2_apps,10,last_validation_status,TEXT,0,,0
phase2_apps,11,last_validation_error,TEXT,0,,0
phase2_ingestion_runs,0,run_id,TEXT,0,,1
phase2_ingestion_runs,1,run_label,TEXT,0,,0
phase2_ingestion_runs,2,phase,TEXT,0,,0
phase2_ingestion_runs,3,frequency_label,TEXT,0,,0
phase2_ingestion_runs,4,source,TEXT,0,,0
phase2_ingestion_runs,5,language,TEXT,0,,0
phase2_ingestion_runs,6,country,TEXT,0,,0
phase2_ingestion_runs,7,target_reviews_per_app,INTEGER,0,,0
