sample_layer,error_direction,john_primary_category,review_count
core_balanced,negative_to_neutral,mixed,2
core_balanced,negative_to_neutral,negative,13
core_balanced,negative_to_positive,inconsistent_with_rating,2
core_balanced,negative_to_positive,mixed,3
core_balanced,negative_to_positive,negative,4
core_balanced,negative_to_positive,unclear,6
core_balanced,neutral_to_negative,inconsistent_with_rating,9
core_balanced,neutral_to_negative,mixed,4
core_balanced,neutral_to_negative,unclear,2
core_balanced,neutral_to_positive,inconsistent_with_rating,12
core_balanced,neutral_to_positive,mixed,2
core_balanced,neutral_to_positive,unclear,1
core_balanced,positive_to_negative,inconsistent_with_rating,7
core_balanced,positive_to_negative,mixed,2
core_balanced,positive_to_negative,positive,3
core_balanced,positive_to_negative,unclear,3
core_balanced,positive_to_neutral,inconsistent_with_rating,3
core_balanced,positive_to_neutral,mixed,3
core_balanced,positive_to_neutral,positive,7
core_balanced,positive_to_neutral,unclear,2
neutral_oversample,neutral_to_negative,inconsistent_with_rating,9
neutral_oversample,neutral_to_negative,mixed,5
neutral_oversample,neutral_to_negative,unclear,1
neutral_oversample,neutral_to_positive,inconsistent_with_rating,10
neutral_oversample,neutral_to_positive,mixed,2
neutral_oversample,neutral_to_positive,unclear,3
