weak_sentiment_label,john_primary_category,review_count,within_weak_label_share
negative,neutral,0,0.0
negative,mixed,5,0.16666666666666666
negative,positive,0,0.0
negative,negative,17,0.5666666666666667
negative,unclear,6,0.2
negative,inconsistent_with_rating,2,0.06666666666666667
neutral,neutral,0,0.0
neutral,mixed,13,0.21666666666666667
neutral,positive,0,0.0
neutral,negative,0,0.0
neutral,unclear,7,0.11666666666666667
neutral,inconsistent_with_rating,40,0.6666666666666666
positive,neutral,0,0.0
positive,mixed,5,0.16666666666666666
positive,positive,10,0.3333333333333333
positive,negative,0,0.0
positive,unclear,5,0.16666666666666666
positive,inconsistent_with_rating,10,0.3333333333333333
