class,direction,rank,feature,coefficient
negative,supports_class,1,text__horrible,2.970245473115704
negative,supports_class,2,text__worst,2.541553668147447
negative,supports_class,3,text__garbage,2.518462807173441
negative,supports_class,4,text__ruined,2.3705714317032713
negative,supports_class,5,text__trash,2.1627671881810406
negative,supports_class,6,text__stupid,2.130774177991223
negative,supports_class,7,text__suddenly,2.108411699993091
negative,supports_class,8,text__forcing,2.084942165538158
negative,supports_class,9,text__greedy,2.0505688381050216
negative,supports_class,10,text__disgusting,2.0466281073089663
negative,supports_class,11,text__wrost,2.0429924389829055
negative,supports_class,12,text__scam,2.039397723657858
negative,supports_class,13,text__why do,1.9795865869241596
negative,supports_class,14,text__uninstall,1.9532768075683649
negative,supports_class,15,text__worse,1.9447359580973804
negative,supports_class,16,text__sidebar,1.9174843263685
negative,supports_class,17,text__took,1.8612402255616127
negative,supports_class,18,text__confusing,1.8412727258313657
negative,supports_class,19,text__paying,1.8383739031462452
negative,supports_class,20,text__really bad,1.8372314366776623
negative,opposes_class,1,text__easy,-2.1152537454494795
negative,opposes_class,2,text__but,-1.9658241721790908
negative,opposes_class,3,text__account my,-1.8110950138750221
negative,opposes_class,4,text__your account,-1.8081698058499958
negative,opposes_class,5,text__no ads,-1.8078615767313402
negative,opposes_class,6,text__they should,-1.7967873627863862
negative,opposes_class,7,text__hai to,-1.7542903714229177
negative,opposes_class,8,text__information,-1.7535218588379111
negative,opposes_class,9,text__pretty good,-1.7421301484528147
negative,opposes_class,10,text__wish,-1.7135592272502782
negative,opposes_class,11,text__or it,-1.6863686426676143
negative,opposes_class,12,text__excellent,-1.6664409194351364
negative,opposes_class,13,text__not bad,-1.6254427334558552
negative,opposes_class,14,text__and add,-1.6106536724609244
negative,opposes_class,15,text__problem is,-1.6004255647551313
negative,opposes_class,16,text__helpful and,-1.5709230894027724
negative,opposes_class,17,text__until the,-1.5212674396711623
negative,opposes_class,18,text__only problem,-1.5099288667350055
negative,opposes_class,19,text__is great,-1.5044182234255306
negative,opposes_class,20,text__my issue,-1.489278882098993
neutral,supports_class,1,text__people who,3.160110828986059
neutral,supports_class,2,text__ratingmention but,2.816636310122806
neutral,supports_class,3,text__positive,2.805655604224504
neutral,supports_class,4,text__removing,2.765320802235642
neutral,supports_class,5,text__nothing is,2.666036785833506
neutral,supports_class,6,text__account my,2.6576795448237176
neutral,supports_class,7,text__as much,2.6438015551254717
neutral,supports_class,8,text__and app,2.611824242599357
neutral,supports_class,9,text__videos it,2.609769494442291
neutral,supports_class,10,text__other than,2.585639738771289
